accession	accession_version	strain	published_clade
MW028207	MW028207.1	Q1052Y1/China/Henan/CVA10/20170512	
MW028208	MW028208.1	H1071Y1/China/Henan/CVA10/20170530	
MW028209	MW028209.1	H1049Y1/China/Henan/CVA10/20170502	
MW028210	MW028210.1	H1104Y1/China/Henan/CVA10/20170713	
MW028211	MW028211.1	H1100Y1/China/Henan/CVA10/20170709	
MW028212	MW028212.1	Q1109Y1/China/Henan/CVA10/20170727	
MW028213	MW028213.1	Q1110Y1/China/Henan/CVA10/20170727	
MW029232	MW029232.1	1023Y1/China/Henan/CVA10/20170330	
MW029233	MW029233.1	1104Y1/China/Henan/CVA10/20170713	
MW029234	MW029234.1	1173Y1/China/Henan/CVA10/20170719	
MW029235	MW029235.1	1174Y1/China/Henan/CVA10/20170719	
MW029236	MW029236.1	1204Y1/China/Henan/CVA10/20170721	
MW029237	MW029237.1	1342Y1/China/Henan/CVA10/20170807	
MW029238	MW029238.1	1378Y1/China/Henan/CVA10/20170811	
MW029239	MW029239.1	1405Y1/China/Henan/CVA10/20170814	
MW029240	MW029240.1	1447Y1/China/Henan/CVA10/20170820	
MW029241	MW029241.1	1533Y1/China/Henan/CVA10/20170901	
MW029242	MW029242.1	1597Y1/China/Henan/CVA10/20170911	
MW029243	MW029243.1	1600Y1/China/Henan/CVA10/20170911	
MW029244	MW029244.1	1620Y1/China/Henan/CVA10/20170913	
MW029245	MW029245.1	1638Y1/China/Henan/CVA10/20170915	
MW029246	MW029246.1	1697Y1/China/Henan/CVA10/20170921	
MW029247	MW029247.1	1879Y1/China/Henan/CVA10/20171021	
MW029248	MW029248.1	1891Y1/China/Henan/CVA10/20171019	
MW029249	MW029249.1	1990Y1/China/Henan/CVA10/20171030	
MW029250	MW029250.1	2226Y1/China/Henan/CVA10/20171115	
MW029251	MW029251.1	2335Y1/China/Henan/CVA10/20171201	
MW029252	MW029252.1	2365Y1/China/Henan/CVA10/20171206	
MW029253	MW029253.1	2396Y1/China/Henan/CVA10/20171213	
MW029254	MW029254.1	2496Y1/China/Henan/CVA10/20180108	
MW029255	MW029255.1	2516Y1/China/Henan/CVA10/20180118	
MW029256	MW029256.1	7046Y1/China/Henan/CVA10/20170424	
MW029257	MW029257.1	7111Y1/China/Henan/CVA10/20170429	
MW029258	MW029258.1	7139Y1/China/Henan/CVA10/20170508	
MW029259	MW029259.1	7144Y1/China/Henan/CVA10/20170509	
MW029260	MW029260.1	7190Y1/China/Henan/CVA10/20170513	
MW029261	MW029261.1	7208Y1/China/Henan/CVA10/20170514	
MW029262	MW029262.1	7267Y1/China/Henan/CVA10/20170519	
MW029263	MW029263.1	7278Y1/China/Henan/CVA10/20170519	
MW029264	MW029264.1	7288Y1/China/Henan/CVA10/20170520	
MW029265	MW029265.1	7370Y1/China/Henan/CVA10/20170525	
MW029266	MW029266.1	7372Y1/China/Henan/CVA10/20170525	
MW029267	MW029267.1	7452Y1/China/Henan/CVA10/20170531	
MW029268	MW029268.1	7666Y1/China/Henan/CVA10/20170616	
MW029269	MW029269.1	7671Y1/China/Henan/CVA10/20170617	
MW029270	MW029270.1	7688Y1/China/Henan/CVA10/20170618	
MW029271	MW029271.1	7715Y1/China/Henan/CVA10/20170619	
MW029272	MW029272.1	7775Y1/China/Henan/CVA10/20170623	
MW029273	MW029273.1	7783Y1/China/Henan/CVA10/20170624	
MW029274	MW029274.1	7847Y1/China/Henan/CVA10/20170629	
MW029275	MW029275.1	7862Y1/China/Henan/CVA10/20170630	
MW029276	MW029276.1	7901Y1/China/Henan/CVA10/20170703	
MW029277	MW029277.1	7902Y1/China/Henan/CVA10/20170703	
MW029278	MW029278.1	7912Y1/China/Henan/CVA10/20170704	
MW029279	MW029279.1	7959Y1/China/Henan/CVA10/20170709	
MW029280	MW029280.1	7964Y1/China/Henan/CVA10/20170708	
MW029281	MW029281.1	7982Y1/China/Henan/CVA10/20170711	
MW029282	MW029282.1	8036Y1/China/Henan/CVA10/20170419	
MW029283	MW029283.1	8043Y1/China/Henan/CVA10/20170420	
MW029284	MW029284.1	8056Y1/China/Henan/CVA10/20170502	
MW029285	MW029285.1	8064Y1/China/Henan/CVA10/20170504	
MW029286	MW029286.1	8077Y1/China/Henan/CVA10/20170505	
MW029287	MW029287.1	9038Y1/China/Henan/CVA10/20170421	
MW029288	MW029288.1	Q1100Y1/China/Henan/CVA10/20170715	
MW029289	MW029289.1	H1194Y1/China/Henan/CVA10/20171019	
MW029290	MW029290.1	Q1217Y1/China/Henan/CVA10/20171202	
MW029291	MW029291.1	Q1250Y1/China/Henan/CVA10/20171224	
MW029292	MW029292.1	H1230Y1/China/Henan/CVA10/20180117	
MW029293	MW029293.1	H1323Y1/China/Henan/CVA10/20180320	
MW029294	MW029294.1	H1332Y1/China/Henan/CVA10/20180326	
MW178345	MW178345.1	2015-150-CVA10	
MW178347	MW178347.1	2015-159-CVA10	
MW178379	MW178379.1	2016-086-CVA10	
MW178405	MW178405.1	2016-146-CVA10	
MW178426	MW178426.1	2016-199-CVA10	
MW178427	MW178427.1	2016-283-CVA10	
MW178428	MW178428.1	2016-293-CVA10	
MW178429	MW178429.1	2016-314-CVA10	
MW178430	MW178430.1	2016-317-CVA10	
MW178432	MW178432.1	2016-346-CVA10	
MW178435	MW178435.1	2017-025-CVA10	
MW178449	MW178449.1	2017-278-CVA10	
MW178462	MW178462.1	2018-022-CVA10	
MW178463	MW178463.1	2018-023-CVA10	
MW178470	MW178470.1	2018-032-CVA10	
MW178471	MW178471.1	2018-033-CVA10	
MW178472	MW178472.1	2018-034-CVA10	
MW178474	MW178474.1	2018-042-CVA10	
MW178481	MW178481.1	2018-126-CVA10	
MW178488	MW178488.1	2018-133-CVA10	
MW178492	MW178492.1	2018-143-CVA10	
MW178500	MW178500.1	2018-184-CVA10	
MW178774	MW178774.1	MY2014-157-CVA10	
MW178775	MW178775.1	MY2014-159-CVA10	
MW178776	MW178776.1	MY2014-164-CVA10	
MW178777	MW178777.1	MY2014-171-CVA10	
MW178778	MW178778.1	MY2014-174-CVA10	
MW178779	MW178779.1	MY2014-176-CVA10	
MW178780	MW178780.1	MY2014-178-CVA10	
MW178781	MW178781.1	MY2014-183-CVA10	
MW178782	MW178782.1	MY2014-188-CVA10	
MW178783	MW178783.1	NJ2014-222-CVA10	
MW178784	MW178784.1	NJ2014-229-CVA10	
MW178785	MW178785.1	GZ2014-260-CVA10	
MW178786	MW178786.1	YB2014-312-CVA10	
MW178787	MW178787.1	NJ2014-337-CVA10	
MW178788	MW178788.1	NJ2014-345-CVA10	
MW178789	MW178789.1	NJ2014-348-CVA10	
MW178790	MW178790.1	NJ2014-349-CVA10	
MW178791	MW178791.1	LZ2014-391-CVA10	
MW178792	MW178792.1	LZ2014-405-CVA10	
MW178793	MW178793.1	LZ2014-408-CVA10	
MW178794	MW178794.1	DY2015-010-CVA10	
MW178795	MW178795.1	YB2015-247-CVA10	
MW178796	MW178796.1	LZ2015-350-CVA10	
MW178797	MW178797.1	ZG2015-360-CVA10	
MW178798	MW178798.1	LS2015-393-CVA10	
MW178799	MW178799.1	CD2015-003-CVA10	
MW178800	MW178800.1	NJ2016-032-CVA10	
MW178801	MW178801.1	NJ2016-033-CVA10	
MW178802	MW178802.1	NJ2016-046-CVA10	
MW178803	MW178803.1	NJ2016-048-CVA10	
MW178804	MW178804.1	LZ2016-080-CVA10	
MW178805	MW178805.1	MS2016-167-CVA10	
MW178806	MW178806.1	MS2016-172-CVA10	
MW178807	MW178807.1	MS2016-173-CVA10	
MW178808	MW178808.1	MS2016-177-CVA10	
MW178809	MW178809.1	MS2016-179-CVA10	
MW178810	MW178810.1	MS2016-183-CVA10	
MW178811	MW178811.1	ZG2016-231-CVA10	
MW178812	MW178812.1	ZG2016-233-CVA10	
MW178813	MW178813.1	ZG2016-241-CVA10	
MW178814	MW178814.1	LES2016-244-CVA10	
MW178815	MW178815.1	LES2016-254-CVA10	
MW178816	MW178816.1	NJ2016-296-CVA10	
MW178817	MW178817.1	DY2016-318-CVA10	
MW178818	MW178818.1	DY2016-321-CVA10	
MW178819	MW178819.1	DY2016-322-CVA10	
MW178820	MW178820.1	DY2016-326-CVA10	
MW178821	MW178821.1	DY2016-327-CVA10	
MW178822	MW178822.1	DY2016-335-CVA10	
MW178823	MW178823.1	DY2016-51-CVA10	
MW178824	MW178824.1	DY2016-54-CVA10	
MW178825	MW178825.1	GY2016-250-CVA10	
MW178826	MW178826.1	ZG2016-38-CVA10	
MW178827	MW178827.1	NJ2017-009-CVA10	
MW178828	MW178828.1	NJ2017-022-CVA10	
MW178829	MW178829.1	NJ2017-023-CVA10	
MW178830	MW178830.1	NJ2017-024-CVA10	
MW178831	MW178831.1	MY2017-106-CVA10	
MW178832	MW178832.1	MS2017-138-CVA10	
MW178833	MW178833.1	CD2017-191-CVA10	
MW178834	MW178834.1	CD2017-192-CVA10	
MW178835	MW178835.1	CD2017-196-CVA10	
MW178836	MW178836.1	ZG2017-269-CVA10	
MW178837	MW178837.1	GY2017-313-CVA10	
MW178838	MW178838.1	MY2017-10-CVA10	
MW178839	MW178839.1	ZG2017-02-CVA10	
MW178840	MW178840.1	ZG2017-14-CVA10	
MW178841	MW178841.1	ZG2017-16-CVA10	
MW178842	MW178842.1	GY2018-020-CVA10	
MW178843	MW178843.1	GY2018-021-CVA10	
MW178844	MW178844.1	GY2018-026-CVA10	
MW178845	MW178845.1	GY2018-035-CVA10	
MW178846	MW178846.1	GY2018-037-CVA10	
MW178847	MW178847.1	MS2018-091-CVA10	
MW178848	MW178848.1	MS2018-099-CVA10	
MW178849	MW178849.1	DY2018-162-CVA10	
MW178850	MW178850.1	DY2018-173-CVA10	
MW178851	MW178851.1	DY2018-174-CVA10	
MW178852	MW178852.1	SN2018-199-CVA10	
MW178853	MW178853.1	CD2018-256-CVA10	
MW178854	MW178854.1	CD2018-263-CVA10	
MW178855	MW178855.1	GY2018-164-CVA10	
MW178856	MW178856.1	GY2018-169-CVA10	
MW178857	MW178857.1	GY2018-175-CVA10	
MW178858	MW178858.1	GY2018-194-CVA10	
MW178859	MW178859.1	GY2018-206-CVA10	
MW178860	MW178860.1	GY2018-220-CVA10	
MW178861	MW178861.1	MY2018-03-CVA10	
MW178862	MW178862.1	MY2018-09-CVA10	
MW178863	MW178863.1	MY2018-11-CVA10	
MW178864	MW178864.1	ZG2018-030-CVA10	
MW178865	MW178865.1	ZG2018-032-CVA10	
MW178866	MW178866.1	ZG2018-067-CVA10	
MW178867	MW178867.1	ZG2018-069-CVA10	
MW178868	MW178868.1	ZG2018-084-CVA10	
MW178869	MW178869.1	ZG2018-086-CVA10	
MW178870	MW178870.1	ZG2018-110-CVA10	
MW178871	MW178871.1	ZG2018-112-CVA10	
MW178872	MW178872.1	ZG2018-117-CVA10	
MW178873	MW178873.1	ZG2018-120-CVA10	
MW178874	MW178874.1	ZG2018-123-CVA10	
MW178875	MW178875.1	ZG2018-138-CVA10	
MW178876	MW178876.1	ZG2018-151-CVA10	
MW178877	MW178877.1	ZG2018-152-CVA10	
MW178878	MW178878.1	ZG2018-169-CVA10	
MW178879	MW178879.1	ZG2018-172-CVA10	
MW178880	MW178880.1	ZG2018-180-CVA10	
MW178881	MW178881.1	ZG2018-182-CVA10	
MW178882	MW178882.1	ZG2018-184-CVA10	
MW178883	MW178883.1	ZG2018-192-CVA10	
MW178884	MW178884.1	ZG2018-193-CVA10	
MW178885	MW178885.1	ZG2018-194-CVA10	
MW178886	MW178886.1	ZG2018-201-CVA10	
MW178887	MW178887.1	ZG2018-216-CVA10	
MW178888	MW178888.1	ZG2018-217-CVA10	
MW178889	MW178889.1	ZG2018-218-CVA10	
MW178890	MW178890.1	ZG2018-221-CVA10	
MW178891	MW178891.1	ZG2018-234-CVA10	
MW178892	MW178892.1	ZY2018-01-CVA10	
MW178893	MW178893.1	ZY2018-19-CVA10	
MW178894	MW178894.1	ZY2018-24-CVA10	
MW178895	MW178895.1	GA2019-023-CVA10	
MW178896	MW178896.1	GA2019-030-CVA10	
MW178897	MW178897.1	GA2019-031-CVA10	
MW178898	MW178898.1	NJ2019-069-CVA10	
MW178899	MW178899.1	NJ2019-070-CVA10	
MW178900	MW178900.1	NJ2019-074-CVA10	
MW178901	MW178901.1	NJ2019-075-CVA10	
MW178902	MW178902.1	NC2019-090-CVA10	
MW178903	MW178903.1	NC2019-092-CVA10	
MW178904	MW178904.1	NC2019-093-CVA10	
MW178905	MW178905.1	NC2019-094-CVA10	
MW178906	MW178906.1	NC2019-095-CVA10	
MW178907	MW178907.1	LES2019-109-CVA10	
MW178908	MW178908.1	LES2019-111-CVA10	
MW178909	MW178909.1	GY2019-171-CVA10	
MW178910	MW178910.1	LZ2019-215-CVA10	
MW178911	MW178911.1	DY2019-290-CVA10	
MW178912	MW178912.1	DY2019-291-CVA10	
MW178913	MW178913.1	DY2019-296-CVA10	
MW178914	MW178914.1	DY2019-299-CVA10	
MW178915	MW178915.1	MS2019-332-CVA10	
MW178916	MW178916.1	MS2019-333-CVA10	
MW178917	MW178917.1	MY2019-03-CVA10	
MW178918	MW178918.1	ZY2019-047-CVA10	
MW178919	MW178919.1	ZY2019-056-CVA10	
MW178920	MW178920.1	ZY2019-147-CVA10	
MW178921	MW178921.1	ZY2019-184-CVA10	
MW178922	MW178922.1	ZY2019-208-CVA10	
MW178923	MW178923.1	ZY2019-262-CVA10	
MW178924	MW178924.1	ZY2019-266-CVA10	
MW178925	MW178925.1	ZY2019-284-CVA10	
MW713443	MW713443.1	CVA10	
MW731905	MW731905.1	MW731905	
MW731906	MW731906.1	MW731906	
MW731907	MW731907.1	MW731907	
MW731908	MW731908.1	MW731908	
MW731909	MW731909.1	MW731909	
MW731910	MW731910.1	MW731910	
MW731911	MW731911.1	MW731911	
MW731912	MW731912.1	MW731912	
MW731913	MW731913.1	MW731913	
MW929238	MW929238.1	BS17-78	
MW929239	MW929239.1	CN18-124	
MW929240	MW929240.1	CN19-41	
MW929241	MW929241.1	FX17-257	
MW929242	MW929242.1	FX19-33	
MW929243	MW929243.1	FX19-52	
MW929244	MW929244.1	FX19-85	
MW929245	MW929245.1	FX19-90	
MW929246	MW929246.1	FX19-96	
MW929247	MW929247.1	FX19-102	
MW929248	MW929248.1	FX19-135	
MW929249	MW929249.1	FX19-188	
MW929250	MW929250.1	FX19-192	
MW929251	MW929251.1	HK18-26	
MW929252	MW929252.1	HK19-39	
MW929253	MW929253.1	HK19-41	
MW929254	MW929254.1	HK19-43	
MW929255	MW929255.1	HK19-57	
MW929256	MW929256.1	HP18-38	
MW929257	MW929257.1	HP18-39	
MW929258	MW929258.1	HP19-22	
MW929259	MW929259.1	JA19-213	
MW929260	MW929260.1	JD17-89	
MW929261	MW929261.1	JD19-57	
MW929262	MW929262.1	JD19-87	
MW929263	MW929263.1	JD19-88	
MW929264	MW929264.1	JD19-89	
MW929265	MW929265.1	JD19-91	
MW929266	MW929266.1	JS18-131	
MW929267	MW929267.1	JS18-133	
MW929268	MW929268.1	MH18-80	
MW929269	MW929269.1	MH18-173	
MW929270	MW929270.1	MH19-98	
MW929271	MW929271.1	MH19-212	
MW929272	MW929272.1	MH19-244	
MW929273	MW929273.1	MH19-293	
MW929274	MW929274.1	PD17-9	
MW929275	MW929275.1	PD18-52	
MW929276	MW929276.1	PD19-38	
MW929277	MW929277.1	PD19-80	
MW929278	MW929278.1	PT18-15	
MW929279	MW929279.1	PT18-139	
MW929280	MW929280.1	PT18-146	
MW929281	MW929281.1	QP16-74	
MW929282	MW929282.1	QP16-81	
MW929283	MW929283.1	QP17-33	
MW929284	MW929284.1	QP17-46	
MW929285	MW929285.1	QP18-16	
MW929286	MW929286.1	QP18-48	
MW929287	MW929287.1	QP18-89	
MW929288	MW929288.1	QP19-72	
MW929289	MW929289.1	SH17-34	
MW929290	MW929290.1	SJ18-60	
MW929291	MW929291.1	SJ19-23	
MW929292	MW929292.1	SJ19-89	
MW929293	MW929293.1	SJ19-109	
MW929294	MW929294.1	SJ19-136	
MW929295	MW929295.1	SJ20-1	
MW929296	MW929296.1	SJ20-7	
MW929297	MW929297.1	SJ20-8	
MW929298	MW929298.1	YP19-57	
MW929299	MW929299.1	YP19-72	
MW929300	MW929300.1	YP19-86	
MW929301	MW929301.1	YP19-113	
MW929306	MW929306.1	HP17-34	
MW929307	MW929307.1	JA17-151	
MW929308	MW929308.1	JS17-3	
MW929309	MW929309.1	MH19-34	
MW929310	MW929310.1	MH2017-21	
MW929311	MW929311.1	MH2017-22	
MW929312	MW929312.1	PD17-2	
MW929313	MW929313.1	PD17-142	
MW929314	MW929314.1	PD19-21	
MW929315	MW929315.1	QP19-20	
MW929316	MW929316.1	SJ19-73	
MZ004662	MZ004662.1	PI006 S1V1	
MZ441185	MZ441185.1	3R3/YN/CHN/2019	
MZ441186	MZ441186.1	4R3/YN/CHN/2019	
MZ491033	MZ491033.1	MZ491033	
MZ491034	MZ491034.1	MZ491034	
MZ825285	MZ825285.1	NL5878	
OK570247	OK570247.1	OK570247	
OK570248	OK570248.1	OK570248	
OK570250	OK570250.1	OK570250	
OK570252	OK570252.1	OK570252	
OK570260	OK570260.1	OK570260	
OK635685	OK635685.1	OK635685	
OK635686	OK635686.1	OK635686	
OL381902	OL381902.1	VND/102_VNM_2018	
OL381903	OL381903.1	VND/123_VNM_2018	
OL381904	OL381904.1	VND/137_VNM_2018	
OL381905	OL381905.1	GS/983_VNM_2018	
OL381906	OL381906.1	GS/993_VNM_2018	
OL381907	OL381907.1	GS/1056_VNM_2018	
OL381908	OL381908.1	GS/1058_VNM_2018	
OL381909	OL381909.1	GS/1176_VNM_2018	
OL381910	OL381910.1	GS/1364_VNM_2018	
OL381911	OL381911.1	18/076_VNM_2018	
OL381912	OL381912.1	18/080_VNM_2018	
OL381913	OL381913.1	18/099_VNM_2018	
OL381914	OL381914.1	18/101_VNM_2018	
OL381915	OL381915.1	18/104_VNM_2018	
OL381916	OL381916.1	18/167_VNM_2018	
OL381917	OL381917.1	GS/204_VNM_2019	
OL381918	OL381918.1	GS/523_VNM_2019	
OL381919	OL381919.1	GS/679_VNM_2019	
OL381920	OL381920.1	GS/740_VNM_2019	
OL381921	OL381921.1	GS/840_VNM_2019	
OL381922	OL381922.1	GS/841_VNM_2019	
OL381923	OL381923.1	GS/857_VNM_2019	
OL381924	OL381924.1	GS/858_VNM_2019	
OL470914	OL470914.1	CV-A10/HA19103/2019/Beijing/Tongzhou	
OL470915	OL470915.1	CV-A10/HA19101/2019/Beijing/Tongzhou	
OL470916	OL470916.1	CV-A10/HA20067/2020/Beijing/Tongzhou	
OL470917	OL470917.1	CV-A10/HA20077/2020/Beijing/Tongzhou	
OL470918	OL470918.1	CV-A10/HA20076/2020/Beijing/Tongzhou	
OL470919	OL470919.1	CV-A10/HA20075/2020/Beijing/Tongzhou	
OL470920	OL470920.1	CV-A10/HA20073/2020/Beijing/Tongzhou	
OL470921	OL470921.1	CV-A10/HA20068/2020/Beijing/Tongzhou	
ON101704	ON101704.1	YNKG1-7	
ON571439	ON571439.1	1251_21.RU-SVE.09.21	
OP244619	OP244619.1	2016-022-SX-CHN-CVA10	
OP244620	OP244620.1	2016-033-SX-CHN-CVA10	
OP244621	OP244621.1	2016-080-SX-CHN-CVA10	
OP244622	OP244622.1	2016-140-SX-CHN-CVA10	
OP244623	OP244623.1	2016-143-SX-CHN-CVA10	
OP244624	OP244624.1	2016-188-SX-CHN-CVA10	
OP244625	OP244625.1	2016-196-SX-CHN-CVA10	
OP244626	OP244626.1	2016-198-SX-CHN-CVA10	
OP244627	OP244627.1	2016-199-SX-CHN-CVA10	
OP244628	OP244628.1	2016-213-SX-CHN-CVA10	
OP244629	OP244629.1	2016-216-SX-CHN-CVA10	
OP244630	OP244630.1	2016-267-SX-CHN-CVA10	
OP244631	OP244631.1	2016-536-SX-CHN-CVA10	
OP244632	OP244632.1	2018-007-SX-CHN-CVA10	
OP244633	OP244633.1	2018-364-SX-CHN-CVA10	
OP244634	OP244634.1	2018-441-SX-CHN-CVA10	
OP244635	OP244635.1	2019-008-SX-CHN-CVA10	
OP244636	OP244636.1	2019-031-SX-CHN-CVA10	
OP244637	OP244637.1	2019-032-SX-CHN-CVA10	
OP244638	OP244638.1	2019-148-SX-CHN-CVA10	
OP244639	OP244639.1	2019-191-SX-CHN-CVA10	
OP244640	OP244640.1	2019-243-SX-CHN-CVA10	
OP244641	OP244641.1	2019-257-SX-CHN-CVA10	
OP244642	OP244642.1	2019-363-SX-CHN-CVA10	
OP244643	OP244643.1	2019-393-SX-CHN-CVA10	
OP244644	OP244644.1	2019-434-SX-CHN-CVA10	
OP244645	OP244645.1	2019-440-SX-CHN-CVA10	
OP244646	OP244646.1	2019-462-SX-CHN-CVA10	
OP244647	OP244647.1	2019-534-SX-CHN-CVA10	
OP244648	OP244648.1	2019-543-SX-CHN-CVA10	
OP244649	OP244649.1	2020-207-SX-CHN-CVA10	
OP351806	OP351806.1	CA10-19130	
OP351807	OP351807.1	CA10-19083	
OP351808	OP351808.1	CA10-19077	
OP351809	OP351809.1	CA10-19064	
OP351810	OP351810.1	CA10-19060	
OP351811	OP351811.1	CA10-19059	
OP351812	OP351812.1	CA10-19058	
OP351813	OP351813.1	CA10-19056	
OP351814	OP351814.1	CA10-19048	
OP351815	OP351815.1	CA10-19047	
OP351816	OP351816.1	CA10-19042	
OP351817	OP351817.1	CA10-19041	
OP351818	OP351818.1	CA10-19039	
OP351819	OP351819.1	CA10-19036	
OP351820	OP351820.1	CA10-19026	
OP351821	OP351821.1	CA10-19023	
OP351822	OP351822.1	CA10-19008	
OP351823	OP351823.1	CA10-18203	
OP351824	OP351824.1	CA10-18192	
OP762484	OP762484.1	Hu/RU/Khanty-Mansiysk/2022/CV-A10/799	
OP948138	OP948138.1	SPb_9562/22EVI-mi/DA/2022/RU	
OP948149	OP948149.1	SPb_10187/22EVI/Saratov/2022/RU	
OQ091485	OQ091485.1	OQ091485	
OQ091486	OQ091486.1	OQ091486	
OQ091487	OQ091487.1	OQ091487	
OQ091488	OQ091488.1	OQ091488	
OQ091489	OQ091489.1	OQ091489	
OQ091490	OQ091490.1	OQ091490	
OQ091491	OQ091491.1	OQ091491	
OQ091492	OQ091492.1	OQ091492	
OQ091493	OQ091493.1	OQ091493	
OQ091494	OQ091494.1	OQ091494	
OQ091495	OQ091495.1	OQ091495	
OQ091496	OQ091496.1	OQ091496	
OQ091497	OQ091497.1	OQ091497	
OQ091498	OQ091498.1	OQ091498	
OQ091499	OQ091499.1	OQ091499	
OQ091500	OQ091500.1	OQ091500	
OQ091501	OQ091501.1	OQ091501	
OQ091502	OQ091502.1	OQ091502	
OQ091503	OQ091503.1	OQ091503	
OQ091504	OQ091504.1	OQ091504	
OQ091505	OQ091505.1	OQ091505	
OQ091506	OQ091506.1	OQ091506	
OQ091507	OQ091507.1	OQ091507	
OQ091508	OQ091508.1	OQ091508	
OQ091509	OQ091509.1	OQ091509	
OQ091510	OQ091510.1	OQ091510	
OQ091511	OQ091511.1	OQ091511	
OQ091512	OQ091512.1	OQ091512	
OQ091513	OQ091513.1	OQ091513	
OQ091514	OQ091514.1	OQ091514	
OQ091515	OQ091515.1	OQ091515	
OQ091516	OQ091516.1	OQ091516	
OQ200609	OQ200609.1	DPUCRFVS7	
OQ696774	OQ696774.1	Hu/RU/Tomsk/2022/CV-A10/2983_22	
OQ696775	OQ696775.1	Hu/RU/Surgut/2022/CV-A10/3349_22	
OQ696776	OQ696776.1	Hu/RU/Surgut/2022/CV-A10/3359_22	
OQ696777	OQ696777.1	Hu/RU/Surgut/2022/CV-A10/3363_22	
OR095105	OR095105.1	OR095105	
OR095106	OR095106.1	OR095106	
OR095107	OR095107.1	OR095107	
OR095108	OR095108.1	OR095108	
OR095109	OR095109.1	OR095109	
OR095110	OR095110.1	OR095110	
OR095111	OR095111.1	OR095111	
OR095112	OR095112.1	OR095112	
OR095113	OR095113.1	OR095113	
OR095114	OR095114.1	OR095114	
OR095115	OR095115.1	OR095115	
OR095116	OR095116.1	OR095116	
OR095117	OR095117.1	OR095117	
OR095118	OR095118.1	OR095118	
OR095119	OR095119.1	OR095119	
OR095120	OR095120.1	OR095120	
OR095121	OR095121.1	OR095121	
OR095122	OR095122.1	OR095122	
OR095123	OR095123.1	OR095123	
OR095124	OR095124.1	OR095124	
OR095125	OR095125.1	OR095125	
OR095126	OR095126.1	OR095126	
OR095127	OR095127.1	OR095127	
OR095128	OR095128.1	OR095128	
OR095129	OR095129.1	OR095129	
OR095130	OR095130.1	OR095130	
OR095131	OR095131.1	OR095131	
OR095132	OR095132.1	OR095132	
OR095133	OR095133.1	OR095133	
OR095134	OR095134.1	OR095134	
OR095135	OR095135.1	OR095135	
OR095136	OR095136.1	OR095136	
OR095137	OR095137.1	OR095137	
OR095138	OR095138.1	OR095138	
OR095139	OR095139.1	OR095139	
OR095140	OR095140.1	OR095140	
OR095141	OR095141.1	OR095141	
OR095142	OR095142.1	OR095142	
OR095143	OR095143.1	OR095143	
OR095144	OR095144.1	OR095144	
OR095145	OR095145.1	OR095145	
OR095146	OR095146.1	OR095146	
OR095147	OR095147.1	OR095147	
OR095148	OR095148.1	OR095148	
OR095149	OR095149.1	OR095149	
OR095150	OR095150.1	OR095150	
OR095151	OR095151.1	OR095151	
OR095152	OR095152.1	OR095152	
OR095153	OR095153.1	OR095153	
OR095154	OR095154.1	OR095154	
OR095155	OR095155.1	OR095155	
OR095156	OR095156.1	OR095156	
OR095157	OR095157.1	OR095157	
OR345920	OR345920.1	LHY20230426	
OR500115	OR500115.1	CMH-R012-19/THA	
OR500116	OR500116.1	CMH-ST029-21/THA	
OR500117	OR500117.1	CMH-ST061-21/THA	
OR500118	OR500118.1	CMH-R086-22/THA	
OR504976	OR504976.1	IAL_090_2006	
OR555880	OR555880.1	R2316V	
OR555881	OR555881.1	R3485V	
OR555882	OR555882.1	R3471	
OR555883	OR555883.1	R3482	
OR555884	OR555884.1	V0195	
OR828446	OR828446.1	OR828446	
OR888476	OR888476.1	263MAG/RUS/2023	
OR888477	OR888477.1	376KAM/RUS/2023	
OR888478	OR888478.1	280KHA/RUS/2023	
OR888479	OR888479.1	310PRI/RUS/2023	
OR888480	OR888480.1	332KYA/RUS/2023	
PD498970	PD498970.1	PD498970	
PP078926	PP078926.1	R547_GD/CHN_2016	
PP078927	PP078927.1	R548_GD/CHN_2016	
PP078928	PP078928.1	0175_GD/CHN_2019	
PP078929	PP078929.1	480_GD/CHN_2018	
PP078930	PP078930.1	611_GD/CHN_2018	
PP078931	PP078931.1	594_GD/CHN_2018	
PP078932	PP078932.1	997_GD/CHN_2018	
PP078933	PP078933.1	965_GD/CHN_2018	
PP078934	PP078934.1	510_GD/CHN_2018	
PP078935	PP078935.1	893_GD/CHN_2018	
PP078936	PP078936.1	1168_GD/CHN_2017	
PP078937	PP078937.1	1208_GD/CHN_2015	
PP078938	PP078938.1	1438_GD/CHN_2015	
PP078939	PP078939.1	490_GD/CHN_2016	
PP078940	PP078940.1	450_GD/CHN_2016	
PP078941	PP078941.1	454_GD/CHN_2016	
PP078942	PP078942.1	1238_GD/CHN_2017	
PP078943	PP078943.1	485_GD/CHN_2016	
PP078944	PP078944.1	726_GD/CHN_2018	
PP078945	PP078945.1	814_GD/CHN_2018	
PP078946	PP078946.1	902_GD/CHN_2018	
PP078947	PP078947.1	72_GD/CHN_2021	
PP078948	PP078948.1	144_GD/CHN_2021	
PP078949	PP078949.1	1018_GD/CHN_2017	
PP078950	PP078950.1	2079_GD/CHN_2015	
PP078951	PP078951.1	1014_GD/CHN_2017	
PP078952	PP078952.1	0276_GD/CHN_2015	
PP078953	PP078953.1	0800_GD/CHN_2015	
PP078954	PP078954.1	R770_GD/CHN_2010	
